1.4065 	WARNING 	Import Error: No module named 'psychtoolbox'. Using event module for keyboard component.
1.4097 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
2.2856 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000220442F5080>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000220442FCA20>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
2.2857 	EXP 	window1: recordFrameIntervals = False
2.4516 	EXP 	window1: recordFrameIntervals = True
2.6352 	EXP 	window1: recordFrameIntervals = False
2.6901 	EXP 	Created Fixation = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='Fixation', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
2.7089 	EXP 	Created Stimulus = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='Stimulus', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Bodziec ', units='height', win=Window(...), wrapWidth=1)
2.7093 	EXP 	Created test_mean = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='test_mean', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='', units='height', win=Window(...), wrapWidth=1)
2.7111 	EXP 	Created Fixation = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='Fixation', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
2.7411 	EXP 	Created Bodziec = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='Bodziec', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Any text\n\nincluding line breaks', units='height', win=Window(...), wrapWidth=1)
2.7446 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128, units='height', win=Window(...))
2.7449 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
2.7451 	EXP 	New trial (rep=0, index=0): None
2.7520 	EXP 	Fixation: autoDraw = True
3.4855 	DATA 	Keypress: space
3.7514 	EXP 	Fixation: autoDraw = False
3.7514 	EXP 	Fixation: autoDraw = False
3.7514 	EXP 	Stimulus: autoDraw = True
4.0682 	DATA 	Keypress: space
4.0701 	EXP 	New trial (rep=1, index=0): None
4.0846 	EXP 	Stimulus: autoDraw = False
4.0846 	EXP 	Fixation: autoDraw = True
5.0843 	EXP 	Fixation: autoDraw = False
5.0843 	EXP 	Fixation: autoDraw = False
5.0843 	EXP 	Stimulus: autoDraw = True
5.3520 	DATA 	Keypress: space
5.3695 	EXP 	New trial (rep=2, index=0): None
5.3842 	EXP 	Stimulus: autoDraw = False
5.3842 	EXP 	Fixation: autoDraw = True
6.3840 	EXP 	Fixation: autoDraw = False
6.3840 	EXP 	Fixation: autoDraw = False
6.3840 	EXP 	Stimulus: autoDraw = True
6.7014 	DATA 	Keypress: space
6.7030 	EXP 	New trial (rep=3, index=0): None
6.7176 	EXP 	Stimulus: autoDraw = False
6.7176 	EXP 	Fixation: autoDraw = True
7.7172 	EXP 	Fixation: autoDraw = False
7.7172 	EXP 	Fixation: autoDraw = False
7.7172 	EXP 	Stimulus: autoDraw = True
8.0012 	DATA 	Keypress: space
8.0029 	EXP 	New trial (rep=4, index=0): None
8.0170 	EXP 	Stimulus: autoDraw = False
8.0170 	EXP 	Fixation: autoDraw = True
9.0167 	EXP 	Fixation: autoDraw = False
9.0167 	EXP 	Fixation: autoDraw = False
9.0167 	EXP 	Stimulus: autoDraw = True
9.3337 	DATA 	Keypress: space
9.3501 	EXP 	Stimulus: autoDraw = False
9.3501 	EXP 	test_mean: autoDraw = True
9.3501 	EXP 	test_mean: text = ''
10.7168 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
10.7170 	EXP 	New trial (rep=0, index=0): None
10.7330 	EXP 	test_mean: autoDraw = False
10.7330 	EXP 	test_mean: autoDraw = False
10.7330 	EXP 	Fixation: autoDraw = True
11.7327 	EXP 	Fixation: autoDraw = False
11.7327 	EXP 	Fixation: autoDraw = False
11.7327 	EXP 	Bodziec: autoDraw = True
12.1496 	DATA 	Keypress: space
12.1890 	EXP 	Bodziec: autoDraw = False
12.1890 	EXP 	image: image = 'sad.jpg'
12.1890 	EXP 	image: autoDraw = True
14.1496 	EXP 	New trial (rep=1, index=0): None
14.1654 	EXP 	image: autoDraw = False
14.1654 	EXP 	image: autoDraw = False
14.1654 	EXP 	Fixation: autoDraw = True
15.1652 	EXP 	Fixation: autoDraw = False
15.1652 	EXP 	Fixation: autoDraw = False
15.1652 	EXP 	Bodziec: autoDraw = True
16.1649 	EXP 	Bodziec: autoDraw = False
17.1941 	EXP 	window1: mouseVisible = True
