1.4130 	WARNING 	Import Error: No module named 'psychtoolbox'. Using event module for keyboard component.
1.4162 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
2.3590 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000018E90795048>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000018E9079C9E8>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
2.3591 	EXP 	window1: recordFrameIntervals = False
2.5254 	EXP 	window1: recordFrameIntervals = True
2.7093 	EXP 	window1: recordFrameIntervals = False
2.7639 	EXP 	Created Fixation = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='Fixation', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
2.7786 	EXP 	Created Stimulus = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='Stimulus', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Bodziec ', units='height', win=Window(...), wrapWidth=1)
2.7789 	EXP 	Created test_mean = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='test_mean', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='', units='height', win=Window(...), wrapWidth=1)
2.7808 	EXP 	Created Fixation = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='Fixation', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
2.8071 	EXP 	Created Bodziec = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='Bodziec', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Any text\n\nincluding line breaks', units='height', win=Window(...), wrapWidth=1)
2.8105 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128, units='height', win=Window(...))
2.8107 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
2.8109 	EXP 	New trial (rep=0, index=0): None
2.8162 	EXP 	Fixation: autoDraw = True
3.8250 	EXP 	Fixation: autoDraw = False
3.8250 	EXP 	Fixation: autoDraw = False
3.8250 	EXP 	Stimulus: autoDraw = True
4.4086 	DATA 	Keypress: space
4.4121 	EXP 	New trial (rep=1, index=0): None
4.4248 	EXP 	Stimulus: autoDraw = False
4.4248 	EXP 	Fixation: autoDraw = True
5.4246 	EXP 	Fixation: autoDraw = False
5.4246 	EXP 	Fixation: autoDraw = False
5.4246 	EXP 	Stimulus: autoDraw = True
5.7580 	DATA 	Keypress: space
5.7597 	EXP 	New trial (rep=2, index=0): None
5.7756 	EXP 	Stimulus: autoDraw = False
5.7756 	EXP 	Fixation: autoDraw = True
6.7742 	EXP 	Fixation: autoDraw = False
6.7742 	EXP 	Fixation: autoDraw = False
6.7742 	EXP 	Stimulus: autoDraw = True
7.0912 	DATA 	Keypress: space
7.0931 	EXP 	New trial (rep=3, index=0): None
7.1075 	EXP 	Stimulus: autoDraw = False
7.1075 	EXP 	Fixation: autoDraw = True
8.1072 	EXP 	Fixation: autoDraw = False
8.1072 	EXP 	Fixation: autoDraw = False
8.1072 	EXP 	Stimulus: autoDraw = True
8.4074 	DATA 	Keypress: space
8.4091 	EXP 	New trial (rep=4, index=0): None
8.4239 	EXP 	Stimulus: autoDraw = False
8.4239 	EXP 	Fixation: autoDraw = True
9.4238 	EXP 	Fixation: autoDraw = False
9.4238 	EXP 	Fixation: autoDraw = False
9.4238 	EXP 	Stimulus: autoDraw = True
9.7072 	DATA 	Keypress: space
9.7236 	EXP 	Stimulus: autoDraw = False
9.7236 	EXP 	test_mean: autoDraw = True
9.7236 	EXP 	test_mean: text = ''
11.0904 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
11.0906 	EXP 	New trial (rep=0, index=0): None
11.1065 	EXP 	test_mean: autoDraw = False
11.1065 	EXP 	test_mean: autoDraw = False
11.1065 	EXP 	Fixation: autoDraw = True
12.1063 	EXP 	Fixation: autoDraw = False
12.1063 	EXP 	Fixation: autoDraw = False
12.1063 	EXP 	Bodziec: autoDraw = True
12.3563 	DATA 	Keypress: space
12.3924 	EXP 	window1: mouseVisible = True
